OBJECTID,YEAR_,STATE,AGENCY,UNIT_ID,FIRE_NAME,INC_NUM,ALARM_DATE,CONT_DATE,CAUSE,COMMENTS,REPORT_AC,GIS_ACRES,C_METHOD,OBJECTIVE,FIRE_NUM,SHAPE_Length,SHAPE_Area
21777,2020,CA,BLM,CCD,NORTH,30547,2020/08/02 00:00:00+00,2020/08/10 00:00:00+00,10,cd8d2f6a-ba50-43cf-a62f-894091d839cc,,6882.2671,7,1,,55841.28808,-47310873.49
21778,2020,CA,BLM,NOD,R-1 MAPES,4515,2020/08/10 00:00:00+00,2020/08/13 00:00:00+00,1,8218ebdb-b418-4db6-89cd-ed6d2b85976e,,258.95712,4,1,,10098.68736,-1817475.847
21779,2020,CA,BLM,NOD,R-3 LITTLE FREDOYNER,3966,2020/07/21 00:00:00+00,2020/07/26 00:00:00+00,1,201aa948-dd76-48ac-b111-48f30ef084c9,,187.34305,1,1,,6833.524495,-1319820.999
21780,2020,CA,BLM,NOD,R-2 TRUMBULL,3281,2020/06/23 00:00:00+00,2020/06/28 00:00:00+00,1,54629DE8-0E93-4F7D-B8D3-EF06771FDAF1,,576.65857,1,1,,15222.41121,-4040625.447
21781,2020,CA,BLM,NOD,R-3 SKEDDADLE,3282,2020/06/23 00:00:00+00,2020/06/28 00:00:00+00,1,FA2F7C84-E166-4FCF-A37A-2E68A4EAD7B7,,197.50694,1,1,,11419.16818,-1376990.237
21782,2020,CA,BLM,NOD,R-5 SNOWSTORM,4682,2020/08/17 00:00:00+00,2020/08/18 00:00:00+00,1,9281756E-072A-4BBB-809B-8F49DBB063B2,,471.72025,4,1,,12670.0493,-3314899.769
21783,2020,CA,BLM,NOD,R-5 DRY,3294,2020/06/23 00:00:00+00,2020/06/28 00:00:00+00,1,81332DC6-362A-45A7-BE0C-AFE3D96FB696,,45.455322,1,1,,3922.004981,-316572.4317
21784,2020,CA,BLM,NOD,R-8 PINECODE,4854,2020/08/24 00:00:00+00,2020/08/29 00:00:00+00,1,2b5e95a0-375c-41fb-a895-0bee6f22e4ec,,566.49243,7,1,,13005.85523,-4002114.365
21785,2020,CA,BLM,CCD,RAILROAD,30327,2020/06/23 00:00:00+00,2020/06/25 00:00:00+00,1,60241fca-d61e-4d42-8f5e-e316aae988fb,,131.87671,1,1,,4927.756382,-904462.7124
21786,2020,CA,USF,HTF,SLINK,30684,2020/08/29 00:00:00+00,2020/11/13 00:00:00+00,14,4de3802a-339c-4f3d-bd9a-61d55e9d2aa5,,26751.678,7,1,,120615.4476,-177137742.9
21787,2020,CA,BLM,CDD,SMOKETREE,8157,2020/06/02 00:00:00+00,2020/06/05 00:00:00+00,8,ERWIN ID A3E90E77-8247-4CE1-9A21-EAC2200DEB49,,129.99387,7,1,,4593.449565,-763479.7902
21789,2020,CA,BLM,CDD,STANDING ROCK,10671,2020/07/19 00:00:00+00,2020/07/20 00:00:00+00,14,922902bf-fa1d-4f19-b618-61fbe308a84b,,90.211731,4,1,,7007.208039,-539748.1419
21790,2020,CA,BLM,NOD,W-4 TERMO,4700,2020/08/17 00:00:00+00,0202/08/20 00:00:00+00,1,43985cf5-8a70-43d3-9610-298036d27ba1,,265.58286,4,1,,13848.35429,-1883874.851
21791,2020,CA,BLM,NOD,W-5 COLD SPRINGS,4727,2020/08/18 00:00:00+00,2020/09/13 00:00:00+00,1,0afebc32-36ee-4fa8-aec5-419c9c6ba51d,,84817.273,7,1,,218761.3435,-604907699.6
21792,2020,CA,BLM,NOD,WOOD,1061,2020/02/23 00:00:00+00,2020/02/23 00:00:00+00,5,C1EFD32D-BACB-42FA-98E4-0C0F3CC893CD,,54.357075,6,1,,2872.6431,-382484.04
21793,2020,CA,BLM,CND,BEND,1537,2020/06/25 00:00:00+00,2020/06/27 00:00:00+00,14,25592D78-D7CB-4474-8812-583103B9810F,,264.31039,7,1,,8049.680724,-1609880.951
21794,2020,CA,BLM,CND,LULU,1577,2020/06/28 00:00:00+00,2020/06/28 00:00:00+00,14,EB24C3F8-FF61-405E-AF2C-D0B09F9D24C9,,11.384338,7,1,,1970.510506,-69067.76192
21795,2020,CA,BLM,CDD,ORANGE,14150,2020/09/19 00:00:00+00,2020/10/06 00:00:00+00,14,0204FA94-D6B9-4347-8CFB-62D2E8402657,,35.979053,6,1,,3375.206663,-212844.8169
21796,2020,CA,BLM,,PARKER DAM,87,2020/02/17 00:00:00+00,2020/02/24 00:00:00+00,9,673F3B96-E4DE-4B21-8D41-06BD6410F2BF,,13.992156,6,1,,1893.315273,-83136.42053
21797,2020,CA,BLM,NOD,R-6 TUNNISON,4098,2020/07/28 00:00:00+00,2020/07/30 00:00:00+00,1,9FC0850E-F026-4E9B-8904-D584F1CFF388,,175.14735,7,1,,5068.737188,-1227196.257
21798,2020,CA,BLM,CND,PINEY,897,2020/05/11 00:00:00+00,2020/05/23 00:00:00+00,2,4C0A6134-F820-4881-84EA-BBB778598F80,,21.870525,1,1,,2685.9398,-134344.5459
21799,2020,CA,BLM,CDD,CIMA,13335,2020/09/04 00:00:00+00,2020/09/06 00:00:00+00,14,76F7BBE5-CC97-4A6D-B846-3E184D88ACE1,,32.435482,1,1,,3584.988413,-198352.6202
21800,2020,CA,BLM,CDD,MYER,8651,2020/06/12 00:00:00+00,2020/06/14 00:00:00+00,2,7D8619CE-952D-423B-97B8-18B827B1FC14,,12.894852,1,1,,2477.694012,-73799.40176
21801,2020,CA,BLM,CND,STANDARD,1777,2020/07/05 00:00:00+00,2020/07/05 00:00:00+00,14,DADB52C0-D068-4667-9F01-1BA73E4072ED,,23.779846,1,1,,2905.421948,-145240.63
21802,2020,CA,BLM,,AHA MACAV,207928,2020/09/11 00:00:00+00,2020/09/11 00:00:00+00,9,fireworks,42,42.103676,8,1,,3502.269874,-254583.6168
21803,2020,CA,BLM, ,POWER,726,2020/05/29 00:00:00+00,2020/06/12 00:00:00+00,14,"A9DEF076-AD6C-49AD-98C1-400EC54DAD34
",18,17.045601,1,1,,1788.22586,-97760.85556
21804,2020,CA,DOD,MCP,CREEK 5,20846,2021/12/30 00:00:00+00,2021/12/31 00:00:00+00,14,,,3052.1724,8,1,,30411.79422,-17761235.52
21805,2020,CA,USF,BDF,EL DORADO,129925,2020/09/05 00:00:00+00,2020/11/16 00:00:00+00,14,,22744,,2,1,,116688.8401,-133129604.2
21806,2020,CA,CDF,CZU,BRUNO,1332,2020/02/28 00:00:00+00,2020/02/28 00:00:00+00,7,,5,6.7896652,1,1,,915.53907,-43968.58067
21807,2020,CA,CCO,ORC,LIVE OAK,20094983,2020/08/22 00:00:00+00,2020/08/22 00:00:00+00,10, ,1.79,1.6696894,1,1,,639.0868997,-9782.49385
21808,2020,CA,CDF,ORC,WILLIAMS,20088756,2020/08/07 00:00:00+00,2020/08/08 00:00:00+00,2, ,12.1,7.8091197,1,1,,1017.77717,-45806.50785
21809,2020,CA,CCO,ORC,HIGHLAND,20103543,2020/09/12 00:00:00+00,2020/09/12 00:00:00+00,14, ,5,1.1543884,1,1,,422.2356145,-6740.50925
21810,2020,CA,CCO,ORC,WINDY RIDGE FIRE,20086007,2020/07/31 00:00:00+00,2020/07/31 00:00:00+00,14, ,0,1.742758,1,1,,605.6269772,-10249.5121
21811,2020,CA,CCO,ORC,NICHOLS,20077201,2020/07/09 00:00:00+00,2020/07/10 00:00:00+00,3, ,7.4,8.1194162,1,1,,1127.394562,-47444.4986
21812,2020,CA,CCO,ORC,LAGUNA,20066376,2020/06/12 00:00:00+00,2020/06/12 00:00:00+00,10, ,6.7,7.1623616,1,1,,1951.17456,-41901.49425
21813,2020,CA,CDF,SKU,GUYS,1500,2020/02/27 00:00:00+00,2020/02/27 00:00:00+00,5,,2.8,2.80249,1,1,,847.719183,-20313.59979
21814,2020,CA,CDF,SKU,ORR,4371,2020/06/18 00:00:00+00,2020/06/18 00:00:00+00,2,,3,3.503062,1,1,,644.6622742,-25465.04971
21815,2020,CA,CDF,SKU,LIBERTY,5419,2020/07/20 00:00:00+00,2020/07/20 00:00:00+00,14,,8,8.0555944,1,1,,1378.939692,-58474.10997
21816,2020,CA,CDF,SKU,MARTIN,5914,2020/08/02 00:00:00+00,2020/08/02 00:00:00+00,11,,2,2.3604331,1,1,,736.9949013,-17085.16134
21817,2020,CA,CDF,SKU,SPRING,2451,2020/04/03 00:00:00+00,2020/04/03 00:00:00+00,5,,1.7,1.7493327,1,1,,498.7600205,-12521.4607
21818,2020,CA,CDF,SKU,RED 3-1,5564,2020/07/24 00:00:00+00,2020/07/24 00:00:00+00,1,,2,1.2882109,1,1,,401.9563292,-9374.168329
21819,2020,CA,CDF,SKU,NOYES 1-14,5720,2020/07/28 00:00:00+00,2020/07/28 00:00:00+00,1,,8,8.1201305,5,1,,1083.497926,-58507.50272
21820,2020,CA,CDF,SKU,MOFFETT,4369,2020/06/18 00:00:00+00,2020/06/18 00:00:00+00,2,,1,1.070461,1,1,,341.0025937,-7759.691744
21821,2020,CA,CCO,KRN,SIERRA,2022641,2020/06/06 00:00:00+00,2020/06/06 00:00:00+00,14,,1.13498506,1.1342443,1,1,,497.9995196,-6986.30433
21822,2020,CA,CCO,KRN,CROSS,2023544,2020/06/11 00:00:00+00,2020/06/11 00:00:00+00,14,,6.081597924,6.0815964,1,1,,804.7654223,-36961.96279
21823,2020,CA,CCO,KRN,EXTENSION INC,2029285,2020/07/12 00:00:00+00,2020/07/11 00:00:00+00,14,,3.246279443,3.2462783,1,1,,643.1194961,-19846.06792
21824,2020,CA,CCO,KRN,CAMELOT ,2029945,2020/07/15 00:00:00+00,2020/07/15 00:00:00+00,14,,9.619668542,9.6194544,1,1,,1464.915279,-58281.18569
21825,2020,CA,CCO,KRN,,2029986,2020/07/16 00:00:00+00,2020/07/16 00:00:00+00,14,,1.410282336,1.4102824,1,1,,398.9037534,-8607.034895
21826,2020,CA,CCO,KRN,,2029923,2020/07/15 00:00:00+00,2020/07/15 00:00:00+00,14,,1.805341174,1.8073028,1,1,,526.383828,-10968.23235
21827,2020,CA,CCO,KRN,OUTLET,2029995,2020/07/16 00:00:00+00,2020/07/16 00:00:00+00,14,SRA,1.066875002,1.0668746,1,1,,596.1570218,-6444.55181
21828,2020,CA,CCO,KRN,178,2031741,2020/07/25 00:00:00+00,2020/07/25 00:00:00+00,14,,7.222465383,7.2224646,1,1,,1326.498512,-44084.92131
21829,2020,CA,CCO,KRN,TRAIL,2033316,2020/08/03 00:00:00+00,2020/08/03 00:00:00+00,14,,2.476839583,2.4768927,1,1,,745.0327256,-15057.21563
21830,2020,CA,CCO,KRN,,2027852,2020/07/04 00:00:00+00,2020/07/04 00:00:00+00,14,,9.32473901,9.183176,1,1,,1003.400521,-56002.55555
21831,2020,CA,CCO,KRN,WOFFORD ,2042294,2020/09/28 00:00:00+00,2020/09/28 00:00:00+00,14,,5.788863547,5.7888613,1,1,,788.0943571,-35604.81629
21832,2020,CA,CCO,KRN,SABODAN,2045671,2020/10/20 00:00:00+00,2020/10/20 00:00:00+00,14,,3.024409749,3.0244088,1,1,,752.0614372,-18291.76676
21833,2020,CA,CDF,MMU,DONALD,12523,2020/06/18 00:00:00+00,2020/06/18 00:00:00+00,7,3 commercial structures,2,1.3796597,1,1,,380.5826396,-8933.694862
21834,2020,CA,CCO,SBC,MOCKINGBIRD,2012134,2020/06/12 00:00:00+00,2020/06/12 00:00:00+00,7,SBC 6643 - incident in high public view,9,8.8859911,1,1,,1631.698545,-52979.10357
21835,2020,CA,CCO,SBC,RANCHO,2016069,2020/08/02 00:00:00+00,2020/08/02 00:00:00+00,11,SBC 8796,1.5,1.5328448,1,1,,546.4062576,-9229.66478
21836,2020,CA,CDF,SLU,HUASNA,5504,2020/05/05 00:00:00+00,2020/05/05 00:00:00+00,5,Escaped Pile Burn,2,1.8204389,1,1,,498.9557163,-11021.98271
21837,2020,CA,CDF,SLU,BISHOP,6447,2020/05/26 00:00:00+00,2020/05/26 00:00:00+00,14,Human Caused,1.54,1.470372,1,1,,586.0707742,-8954.816054
21838,2020,CA,CDF,SLU,CAMATTA,7313,2020/06/13 00:00:00+00,2020/06/13 00:00:00+00,11,,2,2.1390364,1,1,,582.3349399,-13087.43037
21839,2020,CA,CDF,SLU,DAIRY,7813,2020/06/23 00:00:00+00,2020/06/23 00:00:00+00,2,Electrical Power,3,2.5821803,1,1,,839.6045176,-15738.18819
21840,2020,CA,CDF,SLU,FARM,7726,2020/06/21 00:00:00+00,2020/06/21 00:00:00+00,2,Mowing ,2,2.241039,6,1,,464.6600929,-13626.50264
21841,2020,CA,CDF,SLU,LINNE,6576,2020/05/29 00:00:00+00,2020/05/29 00:00:00+00,11,Power pole blown in wind,6,6.545331,1,1,,964.076872,-40162.79908
21842,2020,CA,CDF,SLU,JACK,7272,2020/06/12 00:00:00+00,2020/06/12 00:00:00+00,14,,6,5.7979832,1,1,,1180.389942,-35676.15928
21843,2020,CA,CDF,SLU,SHERRY,6979,2020/06/07 00:00:00+00,2020/06/07 00:00:00+00,2,,1,1.0090965,1,1,,320.3546528,-6199.036602
21844,2020,CA,CDF,SLU,CAMATTA,8623,2020/07/08 00:00:00+00,2020/07/08 00:00:00+00,2,,8,7.9101806,1,1,,1367.624296,-48416.88186
21845,2020,CA,CDF,SLU,VENICE,8775,2020/07/11 00:00:00+00,2020/07/11 00:00:00+00,2,Lawn Mower,3,3.3597906,1,1,,816.4412876,-20581.6133
21846,2020,CA,CDF,SLU,MACK,8799,2020/07/11 00:00:00+00,2020/07/11 00:00:00+00,10,,1,1.2023542,1,1,,343.9426601,-7370.840849
21847,2020,CA,CDF,SLU,WEBSTER,8567,2020/07/06 00:00:00+00,2020/07/06 00:00:00+00,8,Fire Works,4,4.8722167,1,1,,1122.813971,-29807.05469
21848,2020,CA,CDF,SLU,SHED,10066,2020/08/05 00:00:00+00,2020/08/05 00:00:00+00,10,,5,6.066731,6,1,,891.8862491,-37202.95834
21849,2020,CA,CDF,SLU,CREEK,6543,2020/05/28 00:00:00+00,2020/05/28 00:00:00+00,10,,2,2.014056,6,1,,570.6813729,-12310.30199
21850,2020,CA,CDF,SLU,MUSTARD,8754,2020/07/10 00:00:00+00,2020/07/10 00:00:00+00,11,Bird Strike,2,1.8068277,1,1,,668.0459461,-11103.30127
21851,2020,CA,CDF,SLU,RESERVOIR,14468,2020/11/02 00:00:00+00,2020/11/02 00:00:00+00,8,,8,8.0318632,1,1,,1039.327264,-48884.49117
21852,2020,CA,CDF,SLU,PRICE,6674,2020/05/31 00:00:00+00,2020/05/31 00:00:00+00,10,,1,1.0575446,6,1,,301.8261632,-6419.937111
21853,2020,CA,CDF,SLU,RANCHO,6660,2020/05/31 00:00:00+00,2020/05/31 00:00:00+00,5,,2,2.2681792,1,1,,832.9985116,-13893.36554
21854,2020,CA,CDF,SLU,LAGO,7007,2020/06/07 00:00:00+00,2020/06/07 00:00:00+00,14,,2.6,2.8148341,1,1,,725.9166063,-17098.39461
21855,2020,CA,CDF,SLU,TORO,7099,2020/06/09 00:00:00+00,2020/06/09 00:00:00+00,11,,2,2.0162544,6,1,,462.1378218,-12310.65183
21856,2020,CA,CDF,SLU,CHOLAME,10749,2020/08/18 00:00:00+00,2020/08/18 00:00:00+00,14,,3,3.2303426,1,1,,1302.210522,-19902.25429
21857,2020,CA,CDF,SLU,TOPAZ,8346,2020/07/03 00:00:00+00,2020/07/03 00:00:00+00,11,Electrical power,6,6.8947678,1,1,,953.3101944,-42062.3441
21858,2020,CA,CDF,SLU,GREEN,8873,2020/07/12 00:00:00+00,2020/07/12 00:00:00+00,10,,6,6.0770564,6,1,,772.6584469,-37234.11079
21859,2020,CA,CDF,SLU,DAVIS,9232,2020/07/19 00:00:00+00,2020/07/19 00:00:00+00,10,,3,3.2562845,6,1,,1958.747247,-20046.00699
21860,2020,CA,CDF,SLU,MEADOW,9368,2020/07/22 00:00:00+00,2020/07/22 00:00:00+00,8,,5,5.0337672,6,1,,639.2592509,-30598.81057
21861,2020,CA,CDF,SLU,LUCY,12966,2020/10/02 00:00:00+00,2020/10/02 00:00:00+00,14,Investigation,,2.1383507,6,1,,594.7203897,-13150.0481
21862,2020,CA,CDF,SLU,HILLS,10322,2020/08/11 00:00:00+00,2020/08/11 00:00:00+00,10,,1.05,1.175157,6,1,,362.3840256,-7133.754533
21863,2020,CA,CDF,SLU,SPRING,10366,2020/08/12 00:00:00+00,2020/08/12 00:00:00+00,10,,3,3.9584377,6,1,,938.0451171,-24317.15649
21864,2020,CA,CDF,SLU,IV_1,10554,2020/08/15 00:00:00+00,2020/08/15 00:00:00+00,1,,3,3.0492749,1,1,,652.9078389,-18594.52031
21865,2020,CA,CDF,SLU,BRIDLE,10618,2020/08/16 00:00:00+00,2020/08/16 00:00:00+00,1,,2,2.0577338,6,1,,443.2807054,-12664.34813
21866,2020,CA,CDF,SLU,CORNELL,10744,2020/08/18 00:00:00+00,2020/08/18 00:00:00+00,2,,2,1.810446,1,1,,424.8561116,-11018.52543
21867,2020,CA,CDF,SLU,ENERGY,11284,2020/08/29 00:00:00+00,2020/08/29 00:00:00+00,11,Electrical,7,6.926878,1,1,,809.3107486,-42240.70521
21868,2020,CA,CDF,SLU,COUNTRY,12211,2020/09/17 00:00:00+00,2020/09/17 00:00:00+00,8,,1,1.0168997,6,1,,322.1674139,-6153.550337
21869,2020,CA,CDF,SLU,DELTA,13062,2020/10/04 00:00:00+00,2020/10/04 00:00:00+00,9,,7.7,7.6007361,1,1,,854.7385244,-46338.1959
21870,2020,CA,CDF,SLU,DAVIS,14581,2020/11/05 00:00:00+00,2020/11/05 00:00:00+00,11,Electrical,1,1.1195419,1,1,,427.0050546,-6884.136286
21871,2020,CA,CDF,NEU,SMARTSVILLE,15238,2020/07/09 00:00:00+00,2020/07/09 00:00:00+00,2,,6,8.0897436,6,1,,1248.013235,-54598.75328
21872,2020,CA,CDF,BEU,POND,3644,2020/07/26 00:00:00+00,2020/07/26 00:00:00+00,8,"Grass fire
",10,7.0860515,1,1,,1121.274971,-44869.4974
21873,2020,CA,CCO,VNC,ERBES,4124,2021/01/14 00:00:00+00,2021/01/15 00:00:00+00,14,2 separate perimeters. Reported is total reported,30,26.548508,7,1,,2434.750253,-157568.597
21874,2020,CA,CCO,VNC,LEWIS,59179,2020/07/23 00:00:00+00,2020/07/23 00:00:00+00,14,,3.8,3.9673607,1,1,,836.5455909,-23507.47109
21875,2020,CA,CDF,LMU,GOLD,3917,2020/07/20 00:00:00+00,2020/10/29 00:00:00+00,14, ,22614,22652.559,7,1,,129127.7856,-161406943.2
21876,2020,CA,CCO,VNC,GOODENOUGH,55722,2020/07/12 00:00:00+00,2020/07/12 00:00:00+00,14,,7,8.4154339,1,1,,1024.562309,-50222.55662
21877,2020,CA,CCO,VNC,COCHRAN,55744,2020/07/12 00:00:00+00,2020/07/13 00:00:00+00,14,,8.9,8.3289957,1,1,,1114.073074,-49488.22979
21878,2020,CA,CCO,LAC,TOPANGA,216968,2020/07/22 00:00:00+00,2020/07/22 00:00:00+00,11,,2.3,2.614254,1,1,,693.2888388,-15481.34545
21879,2020,CA,CCO,LAC,AIRPORT,149563,2020/05/21 00:00:00+00,2020/05/21 00:00:00+00,10,,1.8,3.0013263,1,1,,647.7122357,-17928.36868
21880,2020,CA,CCO,LAC,MESA,207264,2020/07/13 00:00:00+00,2020/07/13 00:00:00+00,11,,1,1.2505317,1,1,,341.1643397,-7389.665728
21881,2020,CA,CCO,LAC,COLIMA,169545,2020/06/09 00:00:00+00,2020/06/09 00:00:00+00,14,,6,6.2452407,1,1,,913.0271981,-36841.31199
21882,2020,CA,CCO,LAC,HASLEY,171441,2020/06/11 00:00:00+00,2020/06/11 00:00:00+00,2,,6.7,6.6710515,1,1,,1091.07306,-39807.83094
21883,2020,CA,CCO,LAC,HILL,163511,2020/06/04 00:00:00+00,2020/06/04 00:00:00+00,14,,3.5,3.4855578,1,1,,556.0237113,-20568.6692
21884,2020,CA,CCO,LAC,210TH,198391,2020/07/05 00:00:00+00,2020/07/05 00:00:00+00,14,,6,7.0676484,1,1,,1320.893774,-42477.21206
21885,2020,CA,CCO,LAC,CALGROVE,191517,2020/06/30 00:00:00+00,2020/06/30 00:00:00+00,2,,8.6,4.2280722,1,1,,677.9215312,-25169.72398
21886,2020,CA,CCO,LAC,GROVE,242462,2020/08/14 00:00:00+00,2020/08/14 00:00:00+00,14,,4.5,1.7989417,1,1,,613.5306215,-10619.93225
21887,2020,CA,CCO,LAC,TOPANGA,271897,2020/09/08 00:00:00+00,2020/09/08 00:00:00+00,10,,9.5,6.7322807,1,1,,861.9444551,-39790.86236
21888,2020,CA,CCO,LAC,PALM,275442,2020/09/11 00:00:00+00,2020/09/11 00:00:00+00,14,,8.5,8.4067888,1,1,,935.2502035,-49643.25251
21889,2020,CA,CCO,LAC,NO NAME,290998,2020/09/26 00:00:00+00,2020/09/26 00:00:00+00,10,,5,3.0133996,1,1,,777.3240417,-18110.94801
